Precinct,YES,NO
Countywide,0,0
2701,209,399
2702,297,535
3101,571,765
3102,142,253
3301,6009,6091
3303,1424,2211
3304,238,344
3501,384,580
3502,2040,2712
3602,2818,2623
3603,4118,3373
3604,54,110
3605,940,1404
3606,804,977
3607,2481,3090
3608,2386,2444
3609,164,344
3610,1428,2095
3611,2218,2960
3612,2706,2111
3801,31,29
3802,3764,4978
3803,2788,2996
3804,582,667
3805,341,451
3806,845,1109
3807,380,714
3808,62,60
4101,4462,4437
4102,2228,2461
4103,1456,2146
4203,6120,3689
4204,4599,3562
4205,2266,1786
4207,2763,2038
4208,1757,1302
4209,4199,3128
4210,5256,4694
4301,4999,3876
4302,5879,4211
4304,3773,3424
4305,4721,4562
4306,962,781
4310,4431,3446
4401,4874,4352
4402,4722,4716
4403,4034,3538
4404,4608,4346
4409,921,1084
4501,4171,5458
4502,2009,2307
4503,1909,1921
4505,3452,3728
4506,1517,1715
4508,2047,1953
4509,970,1597
4510,823,1399
4511,999,1403
4512,246,311
4601,4515,4749
4602,1520,2073
4604,2695,2815
4605,2427,2390
4606,5236,4657
4607,1444,1943
4608,684,669
4701,937,1649
4702,260,493
4703,639,1405
4704,1309,2429
4705,2183,2845
4706,1058,2050
4707,704,932
4708,1528,2058
4709,648,1205
4710,1260,2046
4801,509,848
4802,20,21
4803,3315,3527
4804,709,828
4805,336,468
4806,525,975
4807,1142,1683
4901,8,43
4902,3,20
4903,1671,2857
4904,2451,5575
4905,52,247
4906,482,853
4907,81,178
4908,731,1474
4909,1505,2651
4910,1323,1959
4911,1464,2609
5001,1511,2339
5002,2275,4686
5003,416,649
5004,1914,4180
5006,1101,2424
5007,1221,2276
5008,920,2432
5009,343,667
5101,288,442
5102,1611,2818
5103,887,1648
5104,1220,2404
5105,97,271
5106,544,1002
5107,317,908
5202,101,257
5203,300,1136
5204,909,2391
TOTALS,198746,231950
